               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.030309,            0.028997,                   0,             0.85279,             0.70902,             0.83314,             0.30256,            0.011949,           0.0091405,                   0,            0.070038,           0.0033291,           0.0033291
                   1,            0.020342,            0.012239,                   0,             0.92666,             0.88846,             0.94318,             0.47935,           0.0089078,           0.0080954,                   0,            0.039774,           0.0063986,           0.0063986
                   2,            0.018555,            0.010573,                   0,               0.923,             0.89583,             0.94986,              0.4535,            0.011123,           0.0073235,                   0,           0.0092463,           0.0092041,           0.0092041
                   3,            0.016339,           0.0096465,                   0,              0.9556,             0.95286,             0.97843,             0.61434,           0.0069609,              0.0069,                   0,            0.008812,            0.008812,            0.008812
                   4,            0.014459,            0.009155,                   0,             0.95933,             0.95573,             0.97698,             0.66301,           0.0075484,           0.0063678,                   0,            0.008812,            0.008812,            0.008812
                   5,            0.012868,           0.0085894,                   0,             0.96834,             0.96615,             0.97843,             0.70214,           0.0064291,           0.0061876,                   0,            0.008416,            0.008416,            0.008416
                   6,             0.01247,           0.0083305,                   0,             0.94038,             0.96354,             0.97101,             0.68266,           0.0065251,           0.0059645,                   0,             0.00802,             0.00802,             0.00802
                   7,            0.011319,           0.0081464,                   0,              0.9377,             0.97992,             0.97636,             0.74695,           0.0054966,           0.0055438,                   0,            0.007624,            0.007624,            0.007624
                   8,            0.010504,           0.0077763,                   0,             0.97442,             0.96615,             0.98081,             0.75897,           0.0052394,           0.0056022,                   0,            0.007228,            0.007228,            0.007228
                   9,            0.010358,           0.0075479,                   0,             0.97644,             0.97128,             0.98285,              0.7617,           0.0051527,           0.0053955,                   0,            0.006832,            0.006832,            0.006832
                  10,            0.010056,           0.0074906,                   0,             0.98069,             0.97396,             0.98472,              0.7831,           0.0049558,           0.0053163,                   0,            0.006436,            0.006436,            0.006436
                  11,           0.0097748,           0.0074224,                   0,             0.97697,             0.97656,             0.98157,             0.77251,           0.0049724,           0.0052825,                   0,             0.00604,             0.00604,             0.00604
                  12,           0.0094526,           0.0073122,                   0,             0.98203,             0.97656,             0.98339,              0.7803,           0.0048671,           0.0051205,                   0,            0.005644,            0.005644,            0.005644
                  13,           0.0089751,           0.0068934,                   0,             0.96904,              0.9781,              0.9841,             0.80213,           0.0046816,           0.0049648,                   0,            0.005248,            0.005248,            0.005248
                  14,           0.0089449,           0.0069489,                   0,             0.98418,             0.97181,              0.9833,             0.80163,           0.0044724,             0.00497,                   0,            0.004852,            0.004852,            0.004852
                  15,           0.0084355,           0.0069731,                   0,             0.98613,             0.98438,             0.98544,             0.81216,            0.004368,           0.0049278,                   0,            0.004456,            0.004456,            0.004456
                  16,            0.008199,           0.0067981,                   0,             0.98675,             0.98438,             0.98456,             0.82215,           0.0041431,           0.0047137,                   0,             0.00406,             0.00406,             0.00406
                  17,           0.0080883,           0.0067483,                   0,             0.98694,             0.98365,             0.98423,             0.82079,           0.0041476,           0.0047704,                   0,            0.003664,            0.003664,            0.003664
                  18,           0.0080555,           0.0067497,                   0,             0.98273,             0.97917,             0.98426,             0.82827,           0.0041305,           0.0047356,                   0,            0.003268,            0.003268,            0.003268
                  19,           0.0079083,           0.0065629,                   0,             0.98385,             0.98438,             0.98557,                0.83,           0.0040811,           0.0046838,                   0,            0.002872,            0.002872,            0.002872
                  20,           0.0077342,           0.0066267,                   0,             0.97535,             0.97656,             0.98286,             0.82711,           0.0041396,           0.0047753,                   0,            0.002476,            0.002476,            0.002476
                  21,           0.0074976,            0.006416,                   0,             0.98367,             0.97656,             0.98347,             0.82799,           0.0040393,           0.0046136,                   0,             0.00208,             0.00208,             0.00208
                  22,           0.0074116,           0.0064576,                   0,             0.98434,             0.98189,             0.98311,             0.83518,           0.0039843,           0.0045829,                   0,            0.001684,            0.001684,            0.001684
                  23,            0.007295,           0.0062865,                   0,             0.98494,             0.98177,             0.98526,             0.84262,           0.0038997,           0.0046142,                   0,            0.001288,            0.001288,            0.001288
                  24,           0.0070077,           0.0062346,                   0,              0.9869,             0.98114,             0.98422,             0.84112,           0.0038951,           0.0045541,                   0,            0.000892,            0.000892,            0.000892
